date,item,stock,backorder
2024-01-01,Milk,398,2
2024-01-02,Milk,548,43
2024-01-03,Milk,892,23
2024-01-04,Milk,577,2
2024-01-05,Milk,757,14
2024-01-06,Milk,352,29
2024-01-07,Milk,405,6
2024-01-08,Milk,472,43
2024-01-09,Milk,939,8
2024-01-10,Milk,877,47
2024-01-11,Milk,925,1
2024-01-12,Milk,543,7
2024-01-13,Milk,594,12
2024-01-14,Milk,920,7
2024-01-15,Milk,988,17
2024-01-16,Milk,519,17
2024-01-17,Milk,565,46
2024-01-18,Milk,806,37
2024-01-19,Milk,743,10
2024-01-20,Milk,500,24
2024-01-21,Milk,301,40
2024-01-22,Milk,591,10
2024-01-23,Milk,413,23
2024-01-24,Milk,752,16
2024-01-25,Milk,787,45
2024-01-26,Milk,871,14
2024-01-27,Milk,791,21
2024-01-28,Milk,291,19
2024-01-29,Milk,872,9
2024-01-30,Milk,441,32
2024-01-31,Milk,201,32
2024-02-01,Milk,944,12
2024-02-02,Milk,788,25
2024-02-03,Milk,302,1
2024-02-04,Milk,365,38
2024-02-05,Milk,289,45
2024-02-06,Milk,321,49
2024-02-07,Milk,342,33
2024-02-08,Milk,305,43
2024-02-09,Milk,504,39
2024-02-10,Milk,516,2
2024-02-11,Milk,834,5
2024-02-12,Milk,208,5
2024-02-13,Milk,272,38
2024-02-14,Milk,422,31
2024-02-15,Milk,752,49
2024-02-16,Milk,915,7
2024-02-17,Milk,889,27
2024-02-18,Milk,517,19
2024-02-19,Milk,517,46
2024-02-20,Milk,450,6
2024-02-21,Milk,658,19
2024-02-22,Milk,407,3
2024-02-23,Milk,589,21
2024-02-24,Milk,609,2
2024-02-25,Milk,326,40
2024-02-26,Milk,899,41
2024-02-27,Milk,213,10
2024-02-28,Milk,211,22
2024-02-29,Milk,723,12
2024-03-01,Milk,736,44
2024-03-02,Milk,442,18
2024-03-03,Milk,766,45
2024-03-04,Milk,555,44
2024-03-05,Milk,932,31
2024-03-06,Milk,506,43
2024-03-07,Milk,793,5
2024-03-08,Milk,922,21
2024-03-09,Milk,748,31
2024-03-10,Milk,511,40
2024-03-11,Milk,258,2
2024-03-12,Milk,913,34
2024-03-13,Milk,644,28
2024-03-14,Milk,406,32
2024-03-15,Milk,531,48
2024-03-16,Milk,924,30
2024-03-17,Milk,223,19
2024-03-18,Milk,715,27
2024-03-19,Milk,563,19
2024-03-20,Milk,351,49
2024-03-21,Milk,888,31
